product,img_url,price,url_of_item,description
Auto punjač Puro CHAPLT2WHI,http://static.emmi.rs/images/products/200/m4712593.jpg,3.090,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-puro-chaplt2whi.11.html?productId=43010,
Auto punjač Puro CHAPLT2BLK,http://static.emmi.rs/images/products/200/m1175642.jpg,2.990,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-puro-chaplt2blk.11.html?productId=35567,
Auto punjač HAMA,http://static.emmi.rs/images/products/200/m1183871.jpg,690,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama.11.html?productId=39073,
Auto punjač Hama,http://static.emmi.rs/images/products/200/m1189546.jpg,1.290,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama.11.html?productId=40933,
Auto punjač Hama Premium 93533,http://static.emmi.rs/images/products/200/m1147804.jpg,990,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-premium-93533.11.html?productId=23132,"""Roll Up Premium"" Auto punjač, micro USBPunjenje baterije i napajanje preko auto upaljač utičnicePogodno za Nokia 8600 serije, Samsung SGHi8510 serije i Blackberry 9500 Storm serije"
Auto punjač Hama 93584,http://static.emmi.rs/images/products/200/m1182788.jpg,690,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-93584.11.html?productId=38540,
Auto punjač Hama 14094,http://static.emmi.rs/images/products/200/m1147528.jpg,799,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-14094.11.html?productId=23098,
Auto punjač Hama 124313,http://static.emmi.rs/images/products/200/m1189584.jpg,1.499,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-124313.11.html?productId=40935,Direktno napajanje i punjenje baterije preko auto upaljača za cigarete.
Auto punjač Hama 108164. 1000mAh,http://static.emmi.rs/images/products/200/m4747356.jpg,699,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-108164-1000mah.11.html?productId=45827,Napunite mobilni telefon pomoću punjača napajanog iz električnog upaljača u Vašem automobilu.
Auto punjač HAMA 104830,http://static.emmi.rs/images/products/200/m1184145.jpg,590,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-hama-104830.11.html?productId=38759,
Auto punjač Gigatech PSB-230,http://static.emmi.rs/images/products/200/m1191697.jpg,490,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-gigatech-psb-230.11.html?productId=41717,
Auto punjač Cellular Line SYCCMICROUSB,http://static.emmi.rs/images/products/200/m4745214.jpg,329,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-cellular-line-syccmicrousb.11.html?productId=45073,
Auto punjač Cellular Line CBRARMICROUSB1,http://static.emmi.rs/images/products/200/m1156127.jpg,1.490,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-cellular-line-cbrarmicrousb1.11.html?productId=26649,
Auto Player Kenwood KMM-257,http://static.emmi.rs/images/products/200/m1175487.jpg,5.490,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-player-kenwood-kmm-257.11.html?productId=35457,"Auto Player Kenwood KMM-257 je  prvi revolucionarni auto prijemnik dizajniran specijalno za iPod i USB medija ljubitelje, nemajući CD mehanizam. Primetićete jednostavnost povezivanja Vašeg MP3 playera ili USB memorija, kao i pretraživanje velikih kapaciteta medijske biblioteke. Vaša muzika će zvučati još bolje jer KMM-257 podržava kvalitetne FLAC fajlove, uz najbolji digitalni kvalitet zvuka."
Auto navigacija Mio Spirit 690 LM,http://static.emmi.rs/images/products/200/m1185669.jpg,10.999,http://emmi.rs/gps-auto-navigacija-mio-spirit-690-lm.11.html?productId=39423,"* Doživotno besplatno ažuriranje mapa za vaš uređaj* Ekran 5.0"" LCD Touchscreen * 4 GB memorija* GPS SiRFStarIII InstantFixII"
Auto navigacija Mio Spirit 490 FEU,http://static.emmi.rs/images/products/200/m4713391.jpg,9.990,http://emmi.rs/gps-auto-navigacija-mio-spirit-490-feu.11.html?productId=43380,
